Test time, Test, Node, Response Time, Error
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Rome  Italy - ITnet,0.756,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.868,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.719,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.949,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Telefonica,1.279,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Telstra,0.386,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Telstra,0.345,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Perth - Telstra,8.408,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - NTT,4.271,
03-03-2014 12:10, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - NTT,1.684,
03-03-2014 12:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.76,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,Washington  D.C. - Verizon,0.698,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,Washington  D.C. - Verizon,1.22,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,London  UK - Verizon,0.488,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,London  UK - Verizon,0.39,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - KDDI,4.439,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - KDDI,1.681,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,Atlanta  GA - Verizon,1.374,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,Paris  France - France Telecom,0.668,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,Paris  France - France Telecom,0.358,
03-03-2014 12:11, gskbio-origin-sbhardwa - FF Agent,Sydney  Australia - Telstra,5.696,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,Sydney  Australia - Telstra,2.125,
03-03-2014 12:11, gskbio-akamai-sbhardwa - FF Agent,Los Angeles  CA - Verizon,1.1,
